text,trans,type
W.I.N.G.編,W.I.N.G.篇,
283プロダクション ファン感謝祭編,283Production 粉丝感谢祭篇,
G.R.A.D.編,G.R.A.D.篇,
誕生日,生日,
オープニング,序章,
エンディング,终章,
なし,无,
イルミネーションスターズ,illuminationSTARS,
2nd Anniversary 当日スペシャルコミュ,2nd Anniversary 当日专属剧情,
1st Anniversary 当日スペシャルコミュ,1st Anniversary 当日专属剧情,
第$num話,第$1话,exp
ホームボイス,主页语音,exp
ホームタッチボイス,主页触摸语音,exp
【$uk】$numお月見ボイス,【$1】$2赏月语音,exp
【$uk】$num七夕ボイス,【$1】$2七夕语音,exp
【$uk】$numハロウィンボイス,【$1】$2万圣节语音,exp
プロデュースボイス,Produce语音,exp
タッチボイス,触摸语音,exp
信頼度Lv.$numボイス,信赖度Lv.$1语音,exp
オーディション前,试镜前,exp
オーディション後,试镜后,exp
準決勝前コミュ,半决赛前剧情,exp
敗退コミュ,淘汰剧情,exp
準決勝後コミュ,半决赛后剧情,exp
決勝前コミュ,决赛前剧情,exp
決勝後コミュ,决赛后剧情,exp
勝利,胜利,exp
敗北,失败,exp
アイドルロード,偶像之路,exp
TV出演後コミュ,TV出演后,exp
シーズン1,季度1,exp
シーズン2,季度2,exp
シーズン3,季度3,exp
シーズン4,季度4,exp
クリア,通过,exp
失敗,失败,exp


#测试翻译角色卡片和剧情标题：
【白いツバサ】,【洁白羽翼】,exp
【283プロのヒナ】,【283Pro雏鸟】,exp
#日花↓
七草 にちか,七草日花,exp
【アイドルロード】,【偶像之路】,exp
【♡まっクろはムウサぎ♡】,【♡漆黑仓鼠兔♡】,exp
なみ,菜实,exp
そうだよ,就是这样,exp
あいかt,搭dan,exp
